setting_name,include_labels,include_meshes,top_k,idx,gold,pred,first_answer,confidence,used_retrieval,t_self_ms,t_retrieve_ms,t_total_ms
with_labels_mesh,1,1,1,48,yes,maybe,maybe,medium,1,114.938,66.040,195.098
with_labels_mesh,1,1,1,49,yes,maybe,maybe,medium,1,115.009,66.196,198.090
with_labels_mesh,1,1,1,50,no,no,no,high,0,115.248,0.000,115.249
with_labels_mesh,1,1,1,51,maybe,yes,yes,high,0,114.864,0.000,114.864
with_labels_mesh,1,1,1,52,maybe,maybe,maybe,medium,1,115.481,66.234,196.976
with_labels_mesh,1,1,1,53,no,yes,maybe,medium,1,115.155,65.523,204.431
with_labels_mesh,1,1,1,54,yes,maybe,maybe,medium,1,115.558,65.562,193.468
with_labels_mesh,1,1,1,55,maybe,maybe,maybe,medium,1,115.121,65.764,201.088
with_labels_mesh,1,1,1,56,yes,yes,yes,high,0,115.279,0.000,115.279
with_labels_mesh,1,1,1,57,no,no,no,high,0,115.183,0.000,115.183
with_labels_mesh,1,1,1,58,maybe,yes,yes,high,0,115.069,0.000,115.069
with_labels_mesh,1,1,1,59,no,maybe,maybe,medium,1,115.142,65.315,200.203
with_labels_mesh,1,1,1,60,yes,no,no,high,0,115.100,0.000,115.100
with_labels_mesh,1,1,1,61,yes,yes,yes,high,0,114.947,0.000,114.948
with_labels_mesh,1,1,1,62,no,yes,yes,high,0,115.145,0.000,115.145
with_labels_mesh,1,1,1,63,yes,yes,yes,high,0,115.131,0.000,115.132
with_labels_mesh,1,1,1,64,yes,maybe,maybe,low,1,114.704,65.834,195.808
with_labels_mesh,1,1,1,65,no,no,no,high,0,115.329,0.000,115.329
with_labels_mesh,1,1,1,66,no,maybe,maybe,high,0,116.017,0.000,116.018
with_labels_mesh,1,1,1,67,no,maybe,maybe,medium,1,115.211,65.353,192.182
with_labels_mesh,1,1,1,68,yes,yes,yes,high,0,114.975,0.000,114.975
with_labels_mesh,1,1,1,69,no,maybe,maybe,medium,1,115.518,65.097,194.809
with_labels_mesh,1,1,1,70,yes,yes,yes,high,0,114.853,0.000,114.854
with_labels_mesh,1,1,1,71,maybe,maybe,maybe,medium,1,115.458,65.057,192.628
with_labels_mesh,1,1,1,72,yes,maybe,maybe,medium,1,114.798,65.442,204.118
with_labels_mesh,1,1,1,73,yes,maybe,maybe,medium,1,115.671,70.043,210.706
with_labels_mesh,1,1,1,74,yes,maybe,maybe,medium,1,115.322,68.554,206.880
with_labels_mesh,1,1,1,75,yes,maybe,maybe,medium,1,114.890,69.613,203.677
with_labels_mesh,1,1,1,76,maybe,maybe,maybe,medium,1,115.245,68.679,205.561
with_labels_mesh,1,1,1,77,yes,yes,yes,high,0,115.272,0.000,115.273
with_labels_mesh,1,1,1,78,maybe,yes,yes,high,0,114.836,0.000,114.837
with_labels_mesh,1,1,1,79,yes,maybe,maybe,medium,1,115.431,68.898,199.280
with_labels_mesh,1,1,1,80,yes,yes,maybe,medium,1,114.653,69.053,197.433
with_labels_mesh,1,1,1,81,yes,maybe,maybe,medium,1,115.224,68.294,196.850
with_labels_mesh,1,1,1,82,yes,maybe,maybe,medium,1,115.169,68.538,199.993
with_labels_mesh,1,1,1,83,yes,maybe,maybe,medium,1,115.447,69.979,207.284
with_labels_mesh,1,1,1,84,yes,yes,yes,high,0,115.085,0.000,115.085
with_labels_mesh,1,1,1,85,maybe,yes,yes,high,0,661.670,0.000,661.671
with_labels_mesh,1,1,1,86,maybe,no,no,high,0,661.705,0.000,661.705
with_labels_mesh,1,1,1,87,maybe,yes,maybe,medium,1,115.691,68.083,198.006
with_labels_mesh,1,1,1,88,yes,yes,yes,high,0,115.215,0.000,115.216
with_labels_mesh,1,1,1,89,yes,yes,yes,high,0,662.040,0.000,662.040
with_labels_mesh,1,1,1,90,maybe,maybe,maybe,medium,1,115.587,69.670,205.201
with_labels_mesh,1,1,1,91,yes,yes,yes,high,0,115.234,0.000,115.234
with_labels_mesh,1,1,1,92,maybe,maybe,maybe,medium,1,115.651,69.592,198.968
with_labels_mesh,1,1,1,93,yes,maybe,maybe,medium,1,115.084,68.515,202.518
with_labels_mesh,1,1,1,94,yes,maybe,maybe,medium,1,114.664,68.692,204.301
with_labels_mesh,1,1,1,95,no,yes,yes,high,0,115.300,0.000,115.300
with_labels_mesh,1,1,1,96,no,yes,yes,high,0,114.848,0.000,114.848
with_labels_mesh,1,1,1,97,yes,maybe,maybe,medium,1,115.602,69.672,206.804
with_labels_mesh,1,1,1,98,yes,maybe,maybe,medium,1,115.106,69.325,198.452
with_labels_mesh,1,1,1,99,no,maybe,maybe,medium,1,115.485,69.537,204.347
with_labels_mesh,1,1,1,100,yes,yes,yes,high,0,662.368,0.000,662.369
with_labels_mesh,1,1,1,101,yes,maybe,maybe,medium,1,115.002,68.543,195.428
with_labels_mesh,1,1,1,102,yes,yes,maybe,medium,1,115.561,70.675,206.177
with_labels_mesh,1,1,1,103,yes,yes,yes,high,0,114.983,0.000,114.983
with_labels_mesh,1,1,1,104,yes,yes,yes,high,0,114.887,0.000,114.887
with_labels_mesh,1,1,1,105,maybe,no,no,high,0,114.962,0.000,114.963
with_labels_mesh,1,1,1,106,yes,maybe,maybe,medium,1,115.279,69.283,199.135
with_labels_mesh,1,1,1,107,maybe,no,no,high,0,74.130,0.000,74.130
with_labels_mesh,1,1,1,108,no,maybe,maybe,medium,1,115.003,69.264,204.705
with_labels_mesh,1,1,1,109,yes,maybe,maybe,medium,1,115.524,69.965,203.326
with_labels_mesh,1,1,1,110,yes,maybe,maybe,low,1,115.763,69.957,205.552
with_labels_mesh,1,1,1,111,maybe,maybe,maybe,medium,1,114.827,69.187,204.944
with_labels_mesh,1,1,1,112,maybe,maybe,maybe,medium,1,115.489,68.357,197.710
with_labels_mesh,1,1,1,113,no,no,no,high,0,115.840,0.000,115.840
with_labels_mesh,1,1,1,114,no,yes,yes,high,0,115.473,0.000,115.474
with_labels_mesh,1,1,1,115,no,yes,yes,high,0,115.248,0.000,115.249
with_labels_mesh,1,1,1,116,maybe,maybe,maybe,medium,1,116.138,72.368,208.237
with_labels_mesh,1,1,1,117,yes,maybe,maybe,medium,1,115.599,69.168,199.351
with_labels_mesh,1,1,1,118,yes,maybe,maybe,medium,1,665.980,68.641,763.001
with_labels_mesh,1,1,1,119,yes,no,no,high,0,116.543,0.000,116.543
with_labels_mesh,1,1,1,120,yes,yes,yes,high,0,116.066,0.000,116.067
with_labels_mesh,1,1,1,121,yes,yes,yes,high,0,116.557,0.000,116.558
with_labels_mesh,1,1,1,122,yes,maybe,maybe,medium,1,116.200,68.594,199.238
with_labels_mesh,1,1,1,123,yes,yes,yes,high,0,115.812,0.000,115.813
with_labels_mesh,1,1,1,124,maybe,yes,maybe,medium,1,116.207,66.156,196.139
with_labels_mesh,1,1,1,125,yes,yes,yes,high,0,665.935,0.000,665.936
with_labels_mesh,1,1,1,126,yes,yes,yes,high,0,116.019,0.000,116.019
with_labels_mesh,1,1,1,127,maybe,no,no,high,0,115.735,0.000,115.735
with_labels_mesh,1,1,1,128,maybe,maybe,maybe,medium,1,115.847,67.018,195.912
with_labels_mesh,1,1,1,129,maybe,maybe,maybe,low,1,115.411,65.549,195.689
with_labels_mesh,1,1,1,130,maybe,yes,maybe,medium,1,116.060,65.104,195.386
with_labels_mesh,1,1,1,131,no,yes,yes,high,0,115.656,0.000,115.656
with_labels_mesh,1,1,1,132,yes,maybe,maybe,medium,1,115.655,67.507,202.705
with_labels_mesh,1,1,1,133,no,maybe,maybe,medium,1,115.597,68.337,204.051
with_labels_mesh,1,1,1,134,yes,maybe,maybe,medium,1,115.465,67.615,195.591
with_labels_mesh,1,1,1,135,yes,yes,yes,high,0,115.809,0.000,115.810
with_labels_mesh,1,1,1,136,yes,maybe,maybe,medium,1,115.300,67.511,202.431
with_labels_mesh,1,1,1,137,yes,maybe,maybe,medium,1,116.080,67.468,207.109
with_labels_mesh,1,1,1,138,yes,yes,yes,high,0,665.961,0.000,665.961
with_labels_mesh,1,1,1,139,maybe,yes,maybe,medium,1,115.944,68.642,212.137
with_labels_mesh,1,1,1,140,yes,maybe,maybe,medium,1,116.362,69.147,200.222
with_labels_mesh,1,1,1,141,yes,maybe,maybe,medium,1,115.609,67.603,203.943
with_labels_mesh,1,1,1,142,yes,yes,yes,high,0,116.057,0.000,116.057
with_labels_mesh,1,1,1,143,maybe,maybe,maybe,medium,1,115.562,67.774,201.615
with_labels_mesh,1,1,1,144,no,maybe,maybe,high,0,115.788,0.000,115.789
with_labels_mesh,1,1,1,145,yes,yes,yes,high,0,115.508,0.000,115.509
with_labels_mesh,1,1,1,146,yes,yes,maybe,medium,1,116.221,68.105,204.235
with_labels_mesh,1,1,1,147,no,yes,yes,high,0,115.613,0.000,115.613
with_labels_mesh,1,1,1,148,maybe,maybe,maybe,medium,1,116.143,68.818,199.255
with_labels_mesh,1,1,1,149,yes,yes,yes,high,0,115.334,0.000,115.335
with_labels_mesh,1,1,1,150,no,yes,yes,high,0,115.653,0.000,115.653
with_labels_mesh,1,1,1,151,no,maybe,maybe,medium,1,115.433,67.530,197.622
with_labels_mesh,1,1,1,152,no,maybe,maybe,medium,1,116.072,67.739,205.283
with_labels_mesh,1,1,1,153,yes,maybe,maybe,medium,1,115.869,67.827,205.491
with_labels_mesh,1,1,1,154,yes,yes,yes,high,0,116.107,0.000,116.107
with_labels_mesh,1,1,1,155,yes,maybe,maybe,medium,1,115.331,68.074,203.885
with_labels_mesh,1,1,1,156,yes,maybe,maybe,medium,1,115.778,67.402,202.984
with_labels_mesh,1,1,1,157,yes,yes,yes,high,0,116.070,0.000,116.071
with_labels_mesh,1,1,1,158,maybe,maybe,maybe,medium,1,115.524,67.650,209.943
with_labels_mesh,1,1,1,159,maybe,no,no,high,0,116.228,0.000,116.229
with_labels_mesh,1,1,1,160,no,yes,yes,high,0,663.987,0.000,663.987
with_labels_mesh,1,1,1,161,yes,maybe,maybe,medium,1,115.027,68.119,199.954
with_labels_mesh,1,1,1,162,yes,maybe,maybe,medium,1,115.176,68.611,203.341
with_labels_mesh,1,1,1,163,no,maybe,maybe,medium,1,116.066,67.663,198.212
with_labels_mesh,1,1,1,164,no,maybe,maybe,medium,1,115.150,68.142,198.954
with_labels_mesh,1,1,1,165,yes,maybe,maybe,medium,1,115.032,67.381,196.721
with_labels_mesh,1,1,1,166,yes,maybe,maybe,medium,1,115.226,67.394,202.427
with_labels_mesh,1,1,1,167,yes,yes,yes,high,0,115.182,0.000,115.183
with_labels_mesh,1,1,1,168,no,yes,yes,high,0,661.612,0.000,661.612
with_labels_mesh,1,1,1,169,no,no,no,high,0,116.026,0.000,116.027
with_labels_mesh,1,1,1,170,maybe,yes,yes,high,0,115.041,0.000,115.042
with_labels_mesh,1,1,1,171,no,no,no,high,0,116.284,0.000,116.285
with_labels_mesh,1,1,1,172,yes,yes,yes,high,0,662.485,0.000,662.485
with_labels_mesh,1,1,1,173,yes,maybe,maybe,medium,1,114.766,67.748,197.071
with_labels_mesh,1,1,1,174,yes,maybe,maybe,medium,1,115.793,67.526,197.607
with_labels_mesh,1,1,1,175,yes,maybe,maybe,medium,1,115.158,68.351,198.022
with_labels_mesh,1,1,1,176,maybe,yes,yes,high,0,662.328,0.000,662.329
with_labels_mesh,1,1,1,177,yes,maybe,maybe,medium,1,115.050,67.656,197.903
with_labels_mesh,1,1,1,178,no,maybe,maybe,medium,1,114.869,67.482,196.287
with_labels_mesh,1,1,1,179,yes,maybe,maybe,medium,1,115.315,67.525,194.435
with_labels_mesh,1,1,1,180,no,maybe,maybe,medium,1,115.577,70.016,205.630
with_labels_mesh,1,1,1,181,no,maybe,maybe,medium,1,114.975,67.542,201.939
with_labels_mesh,1,1,1,182,yes,yes,yes,high,0,116.032,0.000,116.032
with_labels_mesh,1,1,1,183,yes,maybe,maybe,medium,1,115.275,67.586,204.532
with_labels_mesh,1,1,1,184,yes,yes,yes,high,0,115.072,0.000,115.073
with_labels_mesh,1,1,1,185,yes,yes,yes,high,0,661.985,0.000,661.986
with_labels_mesh,1,1,1,186,no,maybe,maybe,high,0,115.392,0.000,115.392
with_labels_mesh,1,1,1,187,maybe,no,maybe,low,1,115.122,67.375,196.507
with_labels_mesh,1,1,1,188,yes,maybe,maybe,medium,1,115.394,67.900,197.973
with_labels_mesh,1,1,1,189,no,no,maybe,medium,1,114.760,67.657,201.723
with_labels_mesh,1,1,1,190,no,maybe,maybe,medium,1,115.667,67.411,202.357
with_labels_mesh,1,1,1,191,no,maybe,maybe,medium,1,115.334,67.336,196.056
with_labels_mesh,1,1,1,192,yes,yes,maybe,medium,1,115.386,67.068,196.494
with_labels_mesh,1,1,1,193,yes,no,maybe,medium,1,115.392,67.752,197.416
with_labels_mesh,1,1,1,194,no,yes,yes,high,0,115.067,0.000,115.067
with_labels_mesh,1,1,1,195,no,maybe,maybe,medium,1,114.926,67.572,194.725
with_labels_mesh,1,1,1,196,no,maybe,maybe,low,1,114.518,67.630,201.829
with_labels_mesh,1,1,1,197,maybe,maybe,maybe,medium,1,115.614,67.296,204.257
with_labels_mesh,1,1,1,198,yes,maybe,maybe,medium,1,115.389,67.048,195.032
with_labels_mesh,1,1,1,199,yes,maybe,maybe,medium,1,115.350,68.855,199.369
with_labels_mesh,1,1,1,200,yes,maybe,maybe,medium,1,115.209,67.738,197.438
with_labels_mesh,1,1,1,201,yes,no,no,high,0,115.225,0.000,115.226
with_labels_mesh,1,1,1,202,yes,maybe,maybe,medium,1,114.845,67.507,201.916
with_labels_mesh,1,1,1,203,maybe,yes,yes,high,0,115.790,0.000,115.791
with_labels_mesh,1,1,1,204,no,yes,maybe,medium,1,114.972,64.898,194.267
with_labels_mesh,1,1,1,205,no,yes,maybe,medium,1,115.515,64.929,194.589
with_labels_mesh,1,1,1,206,no,yes,yes,high,0,114.728,0.000,114.729
with_labels_mesh,1,1,1,207,yes,maybe,maybe,medium,1,115.210,65.467,192.324
with_labels_mesh,1,1,1,208,yes,yes,yes,high,0,114.985,0.000,114.985
with_labels_mesh,1,1,1,209,yes,yes,yes,high,0,114.914,0.000,114.915
with_labels_mesh,1,1,1,210,yes,yes,yes,high,0,115.345,0.000,115.346
with_labels_mesh,1,1,1,211,no,yes,yes,high,0,114.934,0.000,114.934
with_labels_mesh,1,1,1,212,yes,maybe,maybe,medium,1,115.216,64.700,192.189
with_labels_mesh,1,1,1,213,yes,maybe,maybe,medium,1,116.075,67.429,203.475
with_labels_mesh,1,1,1,214,yes,maybe,maybe,medium,1,114.759,65.311,194.977
with_labels_mesh,1,1,1,215,yes,yes,yes,high,0,115.675,0.000,115.675
with_labels_mesh,1,1,1,216,no,no,no,high,0,114.925,0.000,114.925
with_labels_mesh,1,1,1,217,yes,yes,maybe,medium,1,115.035,65.551,201.883
with_labels_mesh,1,1,1,218,no,yes,yes,high,0,661.678,0.000,661.679
with_labels_mesh,1,1,1,219,yes,yes,no,medium,1,661.816,65.773,748.036
with_labels_mesh,1,1,1,220,yes,yes,yes,high,0,115.238,0.000,115.239
with_labels_mesh,1,1,1,221,no,maybe,maybe,medium,1,115.484,65.958,199.592
with_labels_mesh,1,1,1,222,no,maybe,maybe,medium,1,115.106,65.088,194.173
with_labels_mesh,1,1,1,223,maybe,no,no,high,0,114.996,0.000,114.997
with_labels_mesh,1,1,1,224,no,no,no,high,0,114.963,0.000,114.964
with_labels_mesh,1,1,1,225,maybe,yes,yes,high,0,114.866,0.000,114.866
with_labels_mesh,1,1,1,226,yes,yes,yes,high,0,115.016,0.000,115.017
with_labels_mesh,1,1,1,227,no,yes,yes,high,0,114.783,0.000,114.784
with_labels_mesh,1,1,1,228,no,no,no,high,0,115.260,0.000,115.261
with_labels_mesh,1,1,1,229,maybe,maybe,maybe,medium,1,114.758,65.449,192.299
with_labels_mesh,1,1,1,230,no,maybe,maybe,medium,1,115.132,65.798,196.185
with_labels_mesh,1,1,1,231,yes,no,maybe,medium,1,115.404,66.732,190.954
with_labels_mesh,1,1,1,232,yes,maybe,maybe,medium,1,115.403,65.486,206.903
with_labels_mesh,1,1,1,233,yes,maybe,maybe,medium,1,114.985,66.746,198.430
with_labels_mesh,1,1,1,234,no,maybe,maybe,medium,1,114.767,65.123,193.995
with_labels_mesh,1,1,1,235,yes,yes,yes,high,0,115.174,0.000,115.174
with_labels_mesh,1,1,1,236,maybe,no,no,high,0,115.242,0.000,115.243
with_labels_mesh,1,1,1,237,yes,maybe,maybe,medium,1,115.124,66.041,192.610
with_labels_mesh,1,1,1,238,yes,maybe,maybe,medium,1,114.559,65.177,194.772
with_labels_mesh,1,1,1,239,maybe,maybe,maybe,medium,1,115.644,64.356,199.560
with_labels_mesh,1,1,1,240,yes,no,no,high,0,115.047,0.000,115.047
with_labels_mesh,1,1,1,241,yes,maybe,maybe,medium,1,115.751,66.789,202.012
with_labels_mesh,1,1,1,242,yes,maybe,maybe,medium,1,114.842,67.615,197.751
with_labels_mesh,1,1,1,243,maybe,maybe,maybe,medium,1,115.011,65.695,205.132
with_labels_mesh,1,1,1,244,yes,maybe,maybe,medium,1,116.301,66.701,195.183
with_labels_mesh,1,1,1,245,maybe,yes,yes,high,0,114.857,0.000,114.857
with_labels_mesh,1,1,1,246,no,maybe,maybe,medium,1,115.004,65.490,191.901
with_labels_mesh,1,1,1,247,yes,yes,yes,high,0,115.093,0.000,115.094
with_labels_mesh,1,1,1,248,maybe,yes,yes,high,0,115.124,0.000,115.125
with_labels_mesh,1,1,1,249,yes,yes,yes,high,0,114.924,0.000,114.925
with_labels_mesh,1,1,1,250,no,maybe,maybe,medium,1,115.267,65.959,201.827
with_labels_mesh,1,1,1,251,yes,maybe,maybe,medium,1,114.875,65.490,198.306
with_labels_mesh,1,1,1,252,yes,yes,yes,high,0,661.837,0.000,661.838
with_labels_mesh,1,1,1,253,no,no,no,high,0,114.991,0.000,114.991
with_labels_mesh,1,1,1,254,no,maybe,maybe,medium,1,115.340,65.921,202.075
with_labels_mesh,1,1,1,255,no,maybe,maybe,medium,1,114.820,65.850,195.344
with_labels_mesh,1,1,1,256,maybe,yes,maybe,medium,1,115.607,65.248,192.429
with_labels_mesh,1,1,1,257,yes,maybe,maybe,medium,1,115.305,65.914,195.982
with_labels_mesh,1,1,1,258,no,maybe,maybe,medium,1,114.394,66.149,192.619
with_labels_mesh,1,1,1,259,no,maybe,maybe,low,1,116.022,66.989,197.994
with_labels_mesh,1,1,1,260,no,yes,yes,high,0,115.074,0.000,115.075
with_labels_mesh,1,1,1,261,yes,maybe,maybe,medium,1,115.271,65.812,193.812
with_labels_mesh,1,1,1,262,yes,yes,maybe,medium,1,114.778,66.097,200.811
with_labels_mesh,1,1,1,263,no,no,maybe,low,1,115.383,64.935,192.241
with_labels_mesh,1,1,1,264,no,maybe,maybe,medium,1,114.946,65.573,194.804
with_labels_mesh,1,1,1,265,no,no,no,high,0,114.938,0.000,114.938
with_labels_mesh,1,1,1,266,yes,maybe,maybe,medium,1,115.004,65.819,202.251
with_labels_mesh,1,1,1,267,yes,maybe,maybe,medium,1,115.116,66.501,194.142
with_labels_mesh,1,1,1,268,maybe,yes,yes,high,0,115.164,0.000,115.164
with_labels_mesh,1,1,1,269,no,maybe,maybe,medium,1,115.363,65.871,193.229
with_labels_mesh,1,1,1,270,maybe,yes,yes,high,0,115.088,0.000,115.088
with_labels_mesh,1,1,1,271,yes,maybe,maybe,low,1,115.606,68.150,203.279
with_labels_mesh,1,1,1,272,yes,maybe,maybe,medium,1,114.664,65.905,202.241
with_labels_mesh,1,1,1,273,no,yes,maybe,medium,1,115.219,66.052,194.637
with_labels_mesh,1,1,1,274,yes,yes,yes,high,0,115.244,0.000,115.245
with_labels_mesh,1,1,1,275,no,yes,yes,high,0,115.167,0.000,115.168
with_labels_mesh,1,1,1,276,yes,maybe,maybe,medium,1,115.000,66.073,195.494
with_labels_mesh,1,1,1,277,yes,maybe,maybe,medium,1,115.106,65.734,193.857
with_labels_mesh,1,1,1,278,yes,maybe,maybe,medium,1,115.288,65.778,193.557
with_labels_mesh,1,1,1,279,yes,maybe,maybe,medium,1,115.529,67.210,195.891
with_labels_mesh,1,1,1,280,no,yes,yes,high,0,115.704,0.000,115.705
with_labels_mesh,1,1,1,281,yes,no,no,high,0,114.834,0.000,114.835
with_labels_mesh,1,1,1,282,maybe,yes,yes,high,0,115.390,0.000,115.390
with_labels_mesh,1,1,1,283,yes,maybe,maybe,medium,1,115.376,65.423,195.318
with_labels_mesh,1,1,1,284,yes,maybe,maybe,medium,1,114.694,66.755,194.757
with_labels_mesh,1,1,1,285,yes,maybe,maybe,medium,1,115.154,66.264,202.419
with_labels_mesh,1,1,1,286,maybe,no,no,high,0,115.242,0.000,115.242
with_labels_mesh,1,1,1,287,no,maybe,maybe,medium,1,115.073,65.820,198.896
with_labels_mesh,1,1,1,288,yes,no,maybe,low,1,114.954,66.202,192.483
with_labels_mesh,1,1,1,289,yes,maybe,maybe,medium,1,115.259,66.040,195.898
with_labels_mesh,1,1,1,290,no,maybe,maybe,low,1,114.653,66.231,201.392
with_labels_mesh,1,1,1,291,yes,maybe,maybe,medium,1,115.304,65.965,200.920
with_labels_mesh,1,1,1,292,maybe,maybe,maybe,medium,1,115.302,66.463,207.226
with_labels_mesh,1,1,1,293,no,maybe,maybe,medium,1,115.613,66.037,196.093
with_labels_mesh,1,1,1,294,maybe,yes,yes,high,0,115.446,0.000,115.446
with_labels_mesh,1,1,1,295,yes,maybe,maybe,low,1,114.592,66.262,201.278
with_labels_mesh,1,1,1,296,yes,maybe,maybe,medium,1,114.820,66.399,194.352
with_labels_mesh,1,1,1,297,yes,no,no,high,0,114.895,0.000,114.896
with_labels_mesh,1,1,1,298,no,yes,yes,high,0,114.753,0.000,114.753
with_labels_mesh,1,1,1,299,yes,yes,maybe,medium,1,114.984,66.292,198.092
with_labels_mesh,1,1,1,300,yes,maybe,maybe,medium,1,115.111,66.041,200.333
with_labels_mesh,1,1,1,301,yes,yes,yes,high,0,115.003,0.000,115.003
with_labels_mesh,1,1,1,302,no,maybe,maybe,medium,1,114.857,65.895,200.551
with_labels_mesh,1,1,1,303,no,maybe,maybe,medium,1,115.341,66.534,200.895
with_labels_mesh,1,1,1,304,yes,no,no,high,0,114.926,0.000,114.927
with_labels_mesh,1,1,1,305,yes,maybe,maybe,medium,1,115.288,66.058,205.262
with_labels_mesh,1,1,1,306,yes,yes,yes,high,0,115.111,0.000,115.111
with_labels_mesh,1,1,1,307,yes,yes,yes,high,0,662.333,0.000,662.333
with_labels_mesh,1,1,1,308,yes,no,no,high,0,115.299,0.000,115.300
with_labels_mesh,1,1,1,309,yes,maybe,maybe,medium,1,115.029,66.224,201.671
with_labels_mesh,1,1,1,310,maybe,yes,yes,high,0,115.142,0.000,115.143
with_labels_mesh,1,1,1,311,yes,maybe,maybe,medium,1,114.662,66.276,195.700
with_labels_mesh,1,1,1,312,no,maybe,maybe,medium,1,115.580,67.026,194.719
with_labels_mesh,1,1,1,313,yes,maybe,maybe,medium,1,115.331,65.784,200.658
with_labels_mesh,1,1,1,314,yes,maybe,maybe,medium,1,115.344,67.003,196.810
with_labels_mesh,1,1,1,315,yes,maybe,maybe,medium,1,114.724,65.799,202.550
with_labels_mesh,1,1,1,316,no,maybe,maybe,medium,1,115.353,65.846,195.624
with_labels_mesh,1,1,1,317,yes,maybe,maybe,medium,1,115.181,66.319,189.947
with_labels_mesh,1,1,1,318,no,yes,yes,high,0,115.229,0.000,115.229
with_labels_mesh,1,1,1,319,yes,maybe,maybe,medium,1,115.278,65.383,195.368
